title,page,published_on,source_url,archive_url,archive_timestamp,country,key,publication_title,new_pub_id
Nigerian Soldiers Depart for Sudan,,2005-07-01,http://allafrica.com/stories/200507010391.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Ogomudia Commissions Retired Soldiers' Houses,,2002-06-04,http://allafrica.com/stories/200206040539.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Ozuah - Police Keep Mum On Fate of Culprits,,2013-02-11,http://allafrica.com/stories/201302110492.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Saraki: Let's Avoid Military Take-Over Again,,2005-07-26,http://allafrica.com/stories/200507260804.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Security Challenges: GOC Organises Training for Army Formations,,2017-02-21,https://www.thisdaylive.com/index.php/2017/02/21/security-challenges-goc-organises-training-for-army-formations/,https://web.archive.org/web/20170405042700/https://www.thisdaylive.com/index.php/2017/02/21/security-challenges-goc-organises-training-for-army-formations/,2017-04-05T04:27:00,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Shoot-Out in Maiduguri as Soldiers Battle Fanatics,,2009-07-29,http://allafrica.com/stories/200907290137.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Sierra-Leone: 'Troops 'Ll Not Be Replaced',,2004-12-16,http://allafrica.com/stories/200412160303.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Soldier Dismissed for Dubious Enlistment,,2003-08-22,http://allafrica.com/stories/200308220159.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Soldiers Nab Vandals at Atlas Cove Depot,,2009-09-17,http://allafrica.com/stories/200909170138.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Soldiers Reprimanded for Role in Liberia,,2007-09-01,http://allafrica.com/stories/200709030381.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
UN to Accredit Nigerian Army Peacekeeping Centre,,2009-10-13,http://allafrica.com/stories/200910140246.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
Yar'Adua - Army Restricts Movement of Soldiers,,2010-01-26,http://allafrica.com/stories/201001260725.html,No archive available,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
"23 cultists, 15 vandals in trouble",,2018-04-21,https://www.vanguardngr.com/2018/04/23-cultists-15-vandals-trouble/,https://web.archive.org/web/20180826000551/https://www.vanguardngr.com/2018/04/23-cultists-15-vandals-trouble/,,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
"3 killed, one arrested as JTF, terrorists clash in Damaturu",,2012-07-02,http://www.vanguardngr.com/2012/07/3-killed-one-arrested-as-jtf-terrorists-clash-in-damaturu/,https://web.archive.org/web/20120702074843/http://www.vanguardngr.com/2012/07/3-killed-one-arrested-as-jtf-terrorists-clash-in-damaturu/,2012-07-02T07:48:43,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
"3 soldiers, 2 civilian JTF members killed by Boko Haram in shootout in Borno",,2018-03-19,https://www.vanguardngr.com/2018/04/976883/,https://web.archive.org/web/20180803155323/https://www.vanguardngr.com/2018/04/976883/,,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
"48 Killed in Fresh Borno Attacks, Chibok Schoolgirls Sighted in Chad",,2014-05-22,http://www.vanguardngr.com/2014/05/48-killed-fresh-borno-attacks/,https://web.archive.org/web/20140522030848/http://www.vanguardngr.com/2014/05/48-killed-fresh-borno-attacks/,2014-05-22T03:08:48,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
"After Borno, Yobe Massacre - B-Haram Strikes in Adamawa, Kills 14",,2014-02-28,http://www.vanguardngr.com/2014/02/borno-yobe-massacre-b-haram-strikes-adamawa-kills-14/,https://web.archive.org/web/20150407113216/http://www.vanguardngr.com/2014/02/borno-yobe-massacre-b-haram-strikes-adamawa-kills-14/,2015-04-07T11:32:16,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
"Army captures Alagarno, Boko Haram `spiritual power base’",,2016-03-30,http://www.vanguardngr.com/2016/03/army-captures-alagarno-boko-haram-spiritual-power-base/,https://web.archive.org/web/20160330230355/http://www.vanguardngr.com/2016/03/army-captures-alagarno-boko-haram-spiritual-power-base/,2016-03-30T23:03:55,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
"Army to Boko Haram: Surrender arms, embrace FG amnesty offer",,2018-03-29,https://www.vanguardngr.com/2018/03/army-boko-haram-surrender-arms-embrace-fg-amnesty-offer/,https://web.archive.org/web/20180917184640/https://www.vanguardngr.com/2018/03/army-boko-haram-surrender-arms-embrace-fg-amnesty-offer/,,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
"Army, Airforce Move Into Jos",,2011-09-14,http://www.vanguardngr.com/2011/09/army-airforce-move-into-jos/,https://web.archive.org/web/20110914090317/http://www.vanguardngr.com/2011/09/army-airforce-move-into-jos/,2011-09-14T09:03:17,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
"Benue, Enugu Killings: Islamic group reacts, says blaming Fulani herdsmen “absurd”",,2016-05-01,https://www.vanguardngr.com/2016/05/benue-enugu-killings-islamic-group-reacts-says-blaming-fulani-herdsmen-absurd/,https://web.archive.org/web/20160706124247/http://www.vanguardngr.com:80/2016/05/benue-enugu-killings-islamic-group-reacts-says-blaming-fulani-herdsmen-absurd/,2016-07-06T12:42:47,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
"Boko Haram in Four-Hour Reign of Terror, Kills 35 in Yobe",,2014-05-28,http://www.vanguardngr.com/2014/05/boko-haram-four-hour-reign-terror-kills-35-yobe/,https://web.archive.org/web/20150111171221/http://www.vanguardngr.com/2014/05/boko-haram-four-hour-reign-terror-kills-35-yobe/,2015-01-11T17:12:21,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
"Dickson receives Buratai, urges him to help make Bayelsa foremost tourist, economic hub",,2018-03-05,https://www.vanguardngr.com/2018/03/dickson-receives-buratai-urges-him-to-help-make-bayelsa-foremost-tourist-economic-hub/,https://web.archive.org/web/20180826001033/https://www.vanguardngr.com/2018/03/dickson-receives-buratai-urges-him-to-help-make-bayelsa-foremost-tourist-economic-hub/,,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
"Lagos, 20 other states get new Police Commissioners",,2014-09-08,http://www.vanguardngr.com/2014/09/lagos-20-states-get-new-command-police-commissioners/,https://web.archive.org/web/20160623162449/http://www.vanguardngr.com/2014/09/lagos-20-states-get-new-command-police-commissioners/,2016-06-23T16:24:49,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
